gene chrom strand TSS TES
WDR77 1 r 111982511 111991830
VTCN1 1 r 117686208 117753582
HIPK1 1 f 114493766 114520491
HIPK1 1 f 114471995 114520491
FAM189B 1 r 155216995 155225274
AP4B1 1 r 114436816 114447746
SERBP1 1 r 67873492 67896123
RCC1 1 f 28844744 28865708
OBSCN 1 f 228395830 228566575
OR10X1 1 r 158548708 158549689
PDZK1 1 f 145727665 145764206
PRAMEF20 1 f 13736906 13747803
C1orf177 1 f 55271735 55307937
TGFB2 1 f 218518675 218617961
CREG1 1 r 167510250 167523056
PEX11B 1 f 145516164 145523732
WARS2 1 r 119573838 119683295
CRB1 1 f 197237333 197447585
TMEM9 1 r 201103898 201123683
CAPN9 1 f 230883160 230937749
CAMK2N1 1 r 20808883 20812728
RFWD2 1 r 175913961 176176380
TMCO4 1 r 20008705 20126410
CRTC2 1 r 153920147 153931132
KANK4 1 r 62701836 62785083
TAL1 1 r 47681961 47697561
LOC101927876 1 f 18392150 18400905
MIR3917 1 r 26232852 26232945
MIR3916 1 r 247365268 247365362
SGIP1 1 f 66999638 67216822
MIR7156 1 f 77525827 77525887
ZNF670 1 r 247197939 247242115
LPPR5 1 r 99355800 99470449
SPRR2F 1 r 153084599 153085991
PPCS 1 f 42922164 42926901
ZNF644 1 r 91380856 91487065
MTMR9LP 1 r 32697260 32707311
CD84 1 r 160510883 160549306
HNRNPR 1 r 23631180 23670857
ZNF669 1 r 247263263 247267674
RRNAD1 1 f 156698262 156706752
LINC01355 1 r 23607801 23612011
TDRD5 1 f 179560988 179660407
ZBTB7B 1 f 154975105 154991001
FBXO28 1 f 224301788 224349749
PLA2G2A 1 r 20301923 20306152
PLA2G2A 1 r 20301923 20306932
AK2 1 r 33473540 33502512
FNDC5 1 r 33327868 33338093
ELAVL4 1 f 50571936 50669457
PPIAL4E 1 r 148201751 148202536
PPIAL4E 1 f 148806014 148806799
PRAMEF15 1 f 13641972 13648987
FNBP1L 1 f 93913687 94020218
LOC100132062 1 f 323891 328581
LOC100132287 1 f 323891 328581
HIST2H4A 1 f 149804220 149804616
HIST2H4A 1 r 149832329 149832725
EDN2 1 r 41944445 41950354
ABCD3 1 f 94883932 94984219
FLG2 1 r 152321212 152332482
C1orf123 1 r 53679771 53686311
TEX35 1 f 178482211 178492635
TNFRSF1B 1 f 12227059 12269277
PTGS2 1 r 186640943 186649559
PTGFR 1 f 78956727 79006386
LZIC 1 r 9989775 10002826
FAM71A 1 f 212797788 212800120
QSOX1 1 f 180123967 180167169
RSG1 1 r 16558181 16563659
CYCSP52 1 f 157098153 157098463
SCARNA4 1 r 155895748 155895877
EFCAB14 1 r 47140830 47184736
TOMM20 1 r 235272657 235292256
DHCR24 1 r 55315299 55352921
FCGR3A 1 r 161511550 161520413
FLAD1 1 f 154955769 154965587
MIR3120 1 f 172107947 172108028
MIR3123 1 f 241295571 241295646
MIR3122 1 f 212250954 212251027
MIR3121 1 r 180407448 180407525
GPR161 1 r 168048779 168106811
TAL1 1 r 47681961 47698007
ATP1A1 1 f 116925991 116947396
ATP1A1 1 f 116916488 116947396
DISC2 1 r 231950371 231954263
PDE4DIP 1 r 144851423 145039995
LGR6 1 f 202163117 202288889
LOC100288069 1 r 700244 714068
BNIPL 1 f 151009028 151020076
IL19 1 f 207002221 207016326
S100A4 1 r 153516094 153518282
MTFR1L 1 f 26146683 26159433
DSTYK 1 r 205111630 205180727
PTCHD2 1 f 11539294 11597640
LOC100505795 1 r 164738352 164743878
UCHL5 1 r 192987534 193028523
PTBP2 1 f 97187160 97280605
EFNA4 1 f 155036212 155042029
LRRN2 1 r 204586302 204654481
MMP23B 1 f 1567559 1570030
SCP2 1 f 53392900 53517289
ETV3 1 r 157094458 157108383
RPRD2 1 f 150336586 150449041
KDM4A 1 f 44115796 44171189
FCMR 1 r 207076630 207095235
PLEKHG5 1 r 6526151 6551761
SNRNP40 1 r 31732414 31769644
RALGPS2 1 f 178694281 178890977
SPATA6 1 r 48761043 48937880
GABRD 1 f 1950767 1962192
GORAB 1 f 170501262 170514929
PRAMEF1 1 f 12851545 12856777
SAMD11 1 f 861120 879961
ELAVL4 1 f 50574591 50669457
LDLRAD1 1 r 54472970 54483859
KAZN 1 f 15250624 15394651
PAFAH2 1 r 26286257 26324648
SH3GLB1 1 f 87170252 87213867
BCAS2 1 r 115110180 115124265
ITGB3BP 1 r 63906440 63988944
SUCO 1 f 172502257 172580975
HES2 1 r 6475293 6479979
FAM69A 1 r 93307716 93427079
MIR1262 1 r 68649200 68649293
TMEM88B 1 f 1361507 1363167
CMPK1 1 f 47799468 47844511
RPS6KC1 1 f 213224574 213446808
DNM3 1 f 171810617 172381857
SLC30A7 1 f 101361631 101447311
NFYC 1 f 41157241 41237275
NEXN 1 f 78354199 78409578
CHI3L2 1 f 111770280 111786062
IQCC 1 f 32671235 32674288
S100A7L2 1 r 153409470 153412503
CRYZ 1 r 75171171 75199092
GLUL 1 r 182347227 182361341
RBBP4 1 f 33116748 33151812
PAX7 1 f 18957499 19075360
MFAP2 1 r 17300998 17307173
MFAP2 1 r 17300998 17308081
LEFTY2 1 r 226124297 226129083
GSTM2 1 f 110210643 110226619
MOV10 1 f 113216933 113243368
CADM3 1 f 159141413 159172932
MAP1LC3C 1 r 242158791 242162385
TRIM67 1 f 231298673 231357314
PHACTR4 1 f 28696092 28826881
NDC1 1 r 54231133 54304225
PTPN22 1 r 114356432 114414381
DDX59 1 r 200613164 200639126
LINGO4 1 r 151772739 151777918
DISC1 1 f 231762560 231991125
DISC1 1 f 231762560 232177019
DISC1 1 f 231762560 232145400
DVL1 1 r 1270657 1284492
TSPAN1 1 f 46640748 46651634
GNG5 1 r 84964005 84972262
GNAT2 1 r 110145888 110155705
HIST3H2BB 1 f 228645807 228646259
CSF1 1 f 110453232 110473616
CLCA4 1 f 87012758 87046432
MIR4654 1 f 162126896 162126972
BEND5 1 r 49193194 49242641
SH2D5 1 r 21046224 21059133
AJAP1 1 f 4715104 4843851
CSMD2 1 r 33979598 34631443
TACSTD2 1 r 59041094 59043166
RHD 1 f 25598976 25656936
MFN2 1 f 12040237 12073572
TRIM45 1 r 117653676 117664411
IKBKE 1 f 206643585 206670223
TTC13 1 r 231041986 231114618
NUF2 1 f 163291722 163325553
FAM212B 1 r 112264685 112298419
TROVE2 1 f 193029003 193060906
C1QC 1 f 22970117 22974603
PACERR 1 f 186649785 186650578
PHTF1 1 r 114239823 114301777
LMNA 1 f 156084460 156109880
GRHL3 1 f 24645811 24690970
GRHL3 1 f 24645811 24681808
FBLIM1 1 f 16085254 16113084
RGS5 1 r 163112088 163172963
SIPA1L2 1 r 232533711 232651243
TMEM51 1 f 15480228 15546974
CHIT1 1 r 203185206 203198860
S100PBP 1 f 33283042 33324480
LHX8 1 f 75600566 75627218
CD101 1 f 117544371 117579173
PADI3 1 f 17575592 17610727
SCARNA3 1 r 175937532 175937676
AGL 1 f 100316530 100389579
FBXO44 1 f 11714913 11723384
HAX1 1 f 154245038 154248355
RAP1GAP 1 r 21922707 21995856
PDC 1 r 186412697 186430240
CDK18 1 f 205473683 205501921
FAM69A 1 r 93307716 93342707
PGBD2 1 f 249200441 249213345
KCNK2 1 f 215256559 215410436
KCNK2 1 f 215178884 215410436
HIST2H3A 1 r 149812258 149812765
PUM1 1 r 31404352 31538564
FCRL4 1 r 157543538 157567870
FCRL5 1 r 157483166 157522310
MRPS15 1 r 36921361 36930040
OR6P1 1 r 158532440 158533394
CSF3R 1 r 36931643 36948915
EXO1 1 f 242012032 242053241
TTC22 1 r 55246751 55266941
GON4L 1 r 155719448 155827086
FAM73A 1 f 78245308 78345225
SNORA14B 1 r 235291117 235291252
F13B 1 r 197008320 197036397
EYA3 1 r 28296854 28415148
PRRX1 1 f 170633312 170708541
ECM1 1 f 150480486 150486265
OR6N2 1 r 158746471 158747425
NBPF14 1 r 148250248 148346756
GLUL 1 r 182347227 182360539
AP4B1 1 r 114436816 114447545
LINC01032 1 r 192904873 192917387
AP4B1-AS1 1 f 114355233 114443859
LOC101928979 1 r 145376205 145382404
S100A9 1 f 153330329 153333503
FAM46C 1 f 118148603 118171011
ASAP3 1 r 23755055 23810750
KIAA0040 1 r 175126122 175161949
SLC25A44 1 f 156163722 156182587
CCDC181 1 r 169364107 169429907
CCDC181 1 r 169364107 169396712
TGFB2-AS1 1 r 218517537 218519020
PLEKHG5 1 r 6526151 6557484
NPL 1 f 182758583 182799519
ANGPTL3 1 f 63063157 63071976
CFHR4 1 f 196857143 196887843
SLC16A4 1 r 110905472 110933704
NOL9 1 r 6581406 6614658
TIPRL 1 f 168148082 168161633
DOCK7 1 r 62920396 63154039
CTH 1 f 70876900 70905534
MGC34796 1 f 62119913 62121800
TNNI1 1 r 201372894 201390874
GPR137B 1 f 236305831 236372209
HHAT 1 f 210501595 210849638
CACYBP 1 f 174968891 174981163
TAF5L 1 r 229728865 229761794
OR6K3 1 r 158686957 158687905
TSPAN2 1 r 115590632 115632121
NR1I3 1 r 161199455 161208000
LMNA 1 f 156052336 156107657
PAX7 1 f 18957499 19062632
CLIC4 1 f 25071759 25170815
PIN1P1 1 f 70385004 70386000
RORC 1 r 151778546 151798553
FMO1 1 f 171227061 171255117
ARTN 1 f 44398991 44402912
ACKR1 1 f 159173802 159176290
GCLM 1 r 94350755 94375154
SLC35E2B 1 r 1592938 1624243
OR2T1 1 f 248569295 248570405
ODF2L 1 r 86812506 86862025
VCAM1 1 f 101185195 101204601
ACOT11 1 f 55013806 55076005
GSTM4 1 f 110198697 110208123
OR10J1 1 f 159409511 159410600
CD48 1 r 160648535 160681641
CD58 1 r 117057155 117113715
SLFNL1 1 r 41481268 41487427
EPB41 1 f 29213602 29446558
ADAR 1 r 154554533 154580724
DCAF8 1 r 160185504 160232350
C1orf229 1 r 247273461 247275719
DEPDC1 1 r 68939834 68962904
PTPRC 1 f 198608097 198726605
UTP11L 1 f 38478383 38490497
METTL13 1 f 171750760 171766856
FCRLA 1 f 161676761 161684142
SMG7 1 f 183441505 183523328
TESK2 1 r 45809554 45956840
ZMYM6 1 r 35451766 35497569
SNORD81 1 r 173833312 173833355
HDGF 1 r 156711898 156722024
HDGF 1 r 156711898 156722240
TCHH 1 r 152078792 152087930
GCSAML 1 f 247670359 247740992
GCSAML 1 f 247681753 247740992
PPIAL4G 1 r 143767143 143767881
TPM3 1 r 154127779 154155725
ZCCHC11 1 r 52888947 53018762
GBAT2 1 f 151319485 151320367
NTNG1 1 f 107682628 108024475
TSTD1 1 r 161007421 161008774
OR2T11 1 r 248789478 248790429
OR2L8 1 f 248112159 248113098
MTOR-AS1 1 f 11203954 11209595
GLRX2 1 r 193065594 193074608
RAP1A 1 f 112162404 112259317
TNFRSF18 1 r 1138887 1142089
IBA57 1 f 228362250 228369958
SLAMF7 1 f 160708846 160724608
H6PD 1 f 9299902 9331394
MXRA8 1 r 1288068 1293927
MXRA8 1 r 1288068 1294174
MXRA8 1 r 1288068 1297157
MXRA8 1 r 1288068 1298921
SDHC 1 f 161284165 161334535
ZNF692 1 r 249144202 249153315
C1orf174 1 r 3805696 3816857
CDCA8 1 f 38158072 38175391
NECAP2 1 f 16767166 16786584
CAPZB 1 r 19665266 19811201
EPHA8 1 f 22890003 22916112
ADIPOR1 1 r 202909952 202927112
ADIPOR1 1 r 202909952 202927524
DEGS1 1 f 224370909 224381142
MGST3 1 f 165600109 165625372
VSIG8 1 r 159824105 159832447
FRRS1 1 r 100174258 100231349
TIE1 1 f 43766565 43788781
AKIRIN1 1 f 39456915 39471737
CLCNKB 1 f 16370230 16383821
AK4 1 f 65613849 65697828
LEMD1 1 r 205350505 205391214
SETSIP 1 r 92539992 92541029
SLC1A7 1 r 53552850 53608304
MUC1 1 r 155158299 155162706
LRIF1 1 r 111489811 111506566
RSBN1 1 r 114304453 114355098
PEX10 1 r 2336240 2344010
CLSPN 1 r 36197712 36235551
KCNAB2 1 f 6086072 6161253
UQCRHL 1 r 16133656 16134194
STRIP1 1 f 110574198 110597263
ZBTB18 1 f 244216506 244220780
BSDC1 1 r 32830233 32860062
IPP 1 r 46159997 46216485
GBP3 1 r 89472359 89488549
PTPN7 1 r 202116140 202130716
PPP1R8 1 f 28157324 28178183
POGZ 1 r 151375199 151431941
S1PR1 1 f 101702304 101707076
SEP15 1 r 87328127 87380107
KISS1 1 r 204159468 204165619
GPR3 1 f 27719147 27722317
NBPF25P 1 f 145827204 146467743
LINC00623 1 r 144298163 144340759
LINC00623 1 f 149576466 149619134
MIR205 1 f 209605477 209605587
MIR214 1 r 172107937 172108047
CFAP57 1 f 43638000 43720029
GNL2 1 r 38032412 38061586
CACNA1S 1 r 201008639 201081694
KCNAB2 1 f 6052357 6161253
ACADM 1 f 76190031 76229363
FAM183A 1 f 43613593 43622067
SNORD38B 1 f 45244061 45244130
OBSCN 1 f 228395830 228548951
DNM3OS 1 r 172106018 172113975
TDRD5 1 f 179575361 179660407
OR6N1 1 r 158735533 158736472
MINOS1-NBL1 1 f 19923470 19984949
KIFAP3 1 r 169890469 170043879
WDR47 1 r 109512837 109584850
LINC01343 1 r 38674705 38680439
LOC100507634 1 f 55681080 55683128
AGRN 1 f 955502 991499
CACNA1E 1 f 181452685 181775921
CR1L 1 f 207818457 207897036
C1orf146 1 f 92683572 92711367
PRAMEF10 1 f 13409127 13414502
PPIAL4D 1 r 148201751 148202536
PPIAL4D 1 f 148806014 148806799
C1orf141 1 r 67557858 67600654
RERE 1 r 8412463 8483747
RTCA 1 f 100731713 100758325
TMEM82 1 f 16068986 16074292
CAPZB 1 r 19665266 19812135
C1orf162 1 f 112016490 112021134
CIART 1 f 150254942 150259504
CIART 1 f 150255131 150259504
SLC35F3 1 f 234349956 234460264
RC3H1 1 r 173900221 173962210
FCGR2B 1 f 161632904 161648444
COL16A1 1 r 32117847 32169768
EPS8L3 1 r 110292701 110306644
LOC148413 1 f 1334909 1337426
LINC01341 1 f 246952918 246954788
OAZ3 1 f 151735444 151743806
SNAP47 1 f 227922696 227968932
MPC2 1 r 167885912 167906307
CACYBP 1 f 174968570 174981163
NPPA 1 r 11905766 11907840
LINC00339 1 f 22351683 22357717
HMGCL 1 r 24128366 24151949
KAZN 1 f 15272414 15394651
PRAMEF11 1 r 12884617 12891264
ATP13A2 1 r 17312452 17338467
FGGY 1 f 59762624 60228402
C2CD4D 1 r 151810338 151813033
ABL2 1 r 179079715 179198819
PBX1 1 f 164528596 164821060
SLC25A24 1 r 108677343 108742980
FAAP20 1 r 2120987 2144159
STX12 1 f 28099693 28150963
AGO3 1 f 36396682 36522063
CLCC1 1 r 109472129 109506121
CCDC185 1 f 223566714 223568812
ANGEL2 1 r 213165523 213189217
MSTO1 1 f 155579960 155584758
SLC44A3 1 f 95285897 95360803
SPRR3 1 f 152974222 152976332
SEMA4A 1 f 156123368 156147542
BTBD8 1 f 92545861 92613401
RXRG 1 r 165370158 165394221
RXRG 1 r 165370158 165414592
MIR3605 1 r 33797993 33798093
LINC01139 1 r 238643683 238649317
EXTL2 1 r 101337927 101360735
TSACC 1 f 156308230 156316785
TCHHL1 1 r 152056619 152061540
SESN2 1 f 28585962 28609002
KIF2C 1 f 45205489 45233438
KIF2C 1 f 45212033 45233438
KLHDC8A 1 r 205305192 205326218
ANKRD13C 1 r 70724684 70820417
YY1AP1 1 r 155629232 155658823
WNT2B 1 f 113051369 113063910
HIVEP3 1 r 41972035 42384378
EPHX1 1 f 225997775 226033262
LAMB3 1 r 209788217 209824679
DENND2C 1 r 115127195 115212732
PKN2 1 f 89149921 89301938
RAB3GAP2 1 r 220321609 220445843
MIB2 1 f 1551244 1565990
EMC1 1 r 19542157 19578053
ZMYM1 1 f 35544963 35581459
PLA2G2C 1 r 20490483 20501687
FAAP20 1 r 2123333 2126214
EPS15 1 r 51819934 51984995
ARID1A 1 f 27022521 27108601
UBE4B 1 f 10093040 10241296
LOC100506023 1 r 173204198 173446294
NMNAT1 1 f 10003485 10045556
TARDBP 1 f 11072678 11085549
SCMH1 1 r 41492870 41707815
PDE4DIP 1 r 144851423 144995033
SPATA45 1 r 213003484 213020991
FCER1G 1 f 161185086 161189038
NCSTN 1 f 160313062 160328742
STMN1 1 r 26210676 26232993
IL22RA1 1 r 24446260 24469775
UBXN10-AS1 1 r 20510735 20512979
ERI3-IT1 1 r 44688266 44709955
ABL2 1 r 179068461 179112224
NR5A2 1 f 199996729 200146550
BCL10 1 r 85731459 85742587
FAM72B 1 f 120839004 120855681
APCS 1 f 159557615 159558661
CYR61 1 f 86046443 86049648
CFHR3 1 f 196743929 196763203
EIF2B3 1 r 45340200 45452394
THEMIS2 1 f 28199053 28213196
YY1AP1 1 r 155629232 155658764
YY1AP1 1 r 155629232 155658565
TAS1R2 1 r 19166092 19186155
TAS1R3 1 f 1266725 1269844
PMVK 1 r 154897207 154909484
CD247 1 r 167399876 167487847
TMEM51 1 f 15479027 15546974
S100A12 1 r 153346183 153348075
IFI16 1 f 158979681 159024945
HSPG2 1 r 22148724 22263790
SNORA66 1 f 93306275 93306408
LEPROT 1 f 65886130 65901690
LRP8 1 r 53708040 53793821
KIAA1522 1 f 33207511 33240571
SUMO1P3 1 f 160287054 160288260
C1orf122 1 f 38273472 38275126
IPP 1 r 46164406 46216485
GJB3 1 f 35246789 35251965
ETV3 1 r 157102975 157108177
AGTRAP 1 f 11796141 11810828
CLCNKA 1 f 16348485 16360545
POLR3C 1 r 145590666 145610668
SRRM1 1 f 24969593 24999772
HLX-AS1 1 r 221006104 221053482
AGBL4-IT1 1 r 49839872 49937757
KCND3-IT1 1 r 112396383 112399527
DPYD-AS2 1 f 98262476 98263607
KCNC4-AS1 1 r 110751072 110752609
PINK1-AS 1 r 20969149 20978686
RPS6KA1 1 f 26856248 26901520
PPIAL4A 1 r 147954634 147955419
UBXN11 1 r 26608772 26644756
RUNX3 1 r 25226001 25256770
B3GALT2 1 r 193147859 193155743
B4GALT3 1 r 161141099 161147758
RCAN3 1 f 24829386 24863510
USP48 1 r 22054338 22109688
LOC102724919 1 f 186404292 186439423
GNG4 1 r 235710984 235813293
GNG4 1 r 235710984 235814054
TCTEX1D4 1 r 45271581 45272957
HNRNPCL1 1 r 12907229 12908609
MANEAL 1 f 38259773 38267278
PEA15 1 f 160175108 160185166
NPHS2 1 r 179519673 179545087
DISP1 1 f 222988430 223179337
RERE 1 r 8412463 8877699
ZCCHC17 1 f 31769828 31837800
ANP32E 1 r 150190716 150208504
MIR3658 1 f 165877157 165877213
CNST 1 f 246729638 246811544
SRGAP2B 1 f 121107151 121134685
RHBG 1 f 156338979 156355013
MIR186 1 r 71533313 71533399
CCDC30 1 f 43000559 43120335
NASP 1 f 46049659 46084578
ST7L 1 r 113084412 113162040
ST7L 1 r 113066140 113162040
MAPKAPK2 1 f 206858364 206907630
FASLG 1 f 172628147 172636012
LBR 1 r 225589203 225615815
OSBPL9 1 f 52082545 52254891
MTMR11 1 r 149900542 149908791
MYBPH 1 r 203136938 203144942
DAB1-AS1 1 f 58326214 58328654
DAB1-AS1 1 f 58326214 58328786
ARF1 1 f 228270850 228286913
POU3F1 1 r 38509522 38512450
RGS5 1 r 163112088 163291581
HIST2H2BF 1 r 149754244 149783928
RNF19B 1 r 33402046 33430414
CCDC18 1 f 93646272 93744287
ZNF691 1 f 43312243 43318146
SLC2A1 1 r 43391045 43424847
LGALS8 1 f 236686738 236716279
LINC01356 1 r 113362790 113393265
SLC16A1-AS1 1 f 113499036 113506690
LIN9 1 r 226418849 226497449
SSBP3-AS1 1 f 54702115 54704736
DUSP27 1 f 167064086 167098402
ZC3H11A 1 f 203764750 203823256
CDC42BPA 1 r 227177565 227505826
AZIN2 1 f 33546713 33586132
SLC9C2 1 r 173469603 173572233
ANKRD36BP1 1 r 168214818 168216668
CTSK 1 r 150768683 150780917
CKS1B 1 f 154947117 154951725
LINC00626 1 f 168756178 168762126
KCNJ9 1 f 160051359 160059212
RHBDL2 1 r 39351477 39395185
