MeH,chrom,dis,pos,strand
2.74497,1,121,25125,r
2.73496,1,121,25124,f
2.19214,1,165,25168,f
3.25676,1,109,25245,f
2.40333,1,87,25580,f
2.15905,1,86,25583,f
3.04485,1,23,25649,f
2.42669,1,42,25667,f
1.41421,1,104,25669,f
2.0329,1,111,25672,f
1.88253,1,122,25709,f
2.28596,1,71,25773,f
3.75241,1,79,25783,f
2.25247,1,34,25831,f
2.92758,1,104,26088,f
2.06964,1,104,26089,r
3.54218,1,51,26315,f
4.38233,1,29,26351,f
2.80351,1,42,26361,f
2.85299,1,43,26366,f
3.32471,1,92,26558,f
2.2003,1,130,26601,f
3.58459,1,137,26650,f
3.48488,1,123,26729,f
3.64789,1,108,26852,f
2.08214,1,123,26875,f
3.33342,1,102,27083,f
3.13413,1,119,27149,f
2.01982,1,140,27485,f
3.58871,1,134,27844,f
3.33064,1,117,27873,f
2.1637,1,89,27927,f
3.58111,1,43,27978,f
3.03537,1,43,27990,f
3.21477,1,75,28016,f
2.20863,1,138,28021,f
3.00295,1,157,28159,f
4.97621,1,24,28300,f
2.9564,1,98,28309,f
2.47863,1,95,28755,r
3.20251,1,96,28765,r
3.06206,1,99,28860,f
3.41589,1,41,28924,f
3.31149,1,134,28791,r
3.54403,1,99,28850,r
4.41153,1,99,28861,r
3.81273,1,41,28925,r
3.55475,1,31,28948,f
1.89003,1,73,28959,f
3.17888,1,31,28949,r
4.05485,1,27,29180,f
2.89861,1,48,29185,f
3.72925,1,59,29197,f
5.0606,1,81,29207,f
5.85804,1,150,29233,f
2.0,1,132,29256,f
2.95817,1,105,29288,f
4.31093,1,15,29383,f
4.90916,1,40,29388,f
4.57164,1,42,29393,f
4.44546,1,40,29398,f
4.54234,1,36,29428,f
4.07243,1,36,29435,f
3.69839,1,57,29438,f
3.31406,1,43,29464,f
3.62069,1,92,29471,f
3.12913,1,73,29495,f
2.99663,1,80,29507,f
3.1915,1,64,29563,f
3.0591,1,62,29568,f
2.7241,1,94,29587,f
3.67364,1,78,29627,f
2.27894,1,126,29630,f
2.94372,1,95,29858,r
2.7619,1,35,29952,f
2.7012,1,33,29967,f
3.72925,1,79,29889,r
3.27117,1,87,29891,r
3.28897,1,35,29953,r
3.87513,1,33,29968,r
3.89914,1,25,29977,f
4.06817,1,20,29987,f
2.83071,1,36,30000,f
2.69395,1,39,30002,f
3.06213,1,25,29978,r
3.13625,1,20,29988,r
2.11019,1,36,30001,r
3.16554,1,39,30003,r
3.54575,1,43,30007,f
3.56788,1,20,30036,f
2.67117,1,109,30041,f
2.77741,1,128,30056,f
2.92929,1,40,30150,f
1.96237,1,155,30176,f
5.11252,1,43,30008,r
5.74113,1,20,30037,r
1.41421,1,134,30331,f
1.41421,1,116,30354,f
1.86862,1,93,30392,f
2.18359,1,57,30465,f
2.54871,1,73,30470,f
3.67443,1,77,30485,f
3.94563,1,43,30522,f
3.29314,1,42,30543,f
4.90705,1,32,30562,f
4.43898,1,59,30565,f
3.87174,1,46,30585,f
3.50702,1,97,30594,f
4.43026,1,75,30624,f
4.07695,1,84,30631,f
4.64188,1,62,30691,f
5.78388,1,60,30699,f
3.97845,1,53,30715,f
6.93313,1,126,30753,f
1.60343,1,85,30879,f
1.41421,1,46,30922,f
1.41421,1,40,30943,f
0.0,1,34,30964,f
0.0,1,41,30968,f
0.0,1,56,30983,f
3.74814,1,119,31591,f
3.72734,1,26,31699,f
0.0,1,53,32581,r
0.0,1,73,32614,r
0.0,1,133,32622,r
0.0,1,115,32922,f
0.0,1,39,33003,f
0.0,1,27,33024,f
1.41421,1,33,33037,f
1.41421,1,72,33042,f
0.0,1,108,33051,f
0.0,1,97,34226,f
0.0,1,147,34125,r
0.0,1,97,34227,r
0.0,1,123,34700,f
0.0,1,137,34761,f
2.83725,1,130,34898,f
4.52484,1,85,34958,f
6.60567,1,30,35021,f
4.02494,1,108,35028,f
2.42773,1,97,35043,f
1.41421,1,121,35051,f
1.41421,1,89,35136,f
0.0,1,123,34701,r
1.41421,1,91,35140,f
0.0,1,146,35172,f
0.0,1,150,35231,f
1.41421,1,106,35319,r
2.80094,1,93,35334,r
2.74245,1,81,35382,r
1.41421,1,106,35318,f
3.04051,1,93,35333,f
2.86154,1,81,35381,f
2.86154,1,111,35425,r
1.41421,1,104,35739,f
3.10218,1,97,35763,f
5.07006,1,94,35790,f
8.47227,1,50,35843,f
6.55434,1,41,35860,f
0.0,1,84,36807,r
0.0,1,110,37269,r
0.0,1,85,37303,r
0.0,1,124,37314,r
0.0,1,104,37379,r
0.0,1,73,37936,f
0.0,1,94,37943,f
0.0,1,127,37948,f
0.0,1,74,38009,f
0.0,1,68,38037,f
0.0,1,48,38075,f
0.0,1,68,38083,f
1.41421,1,104,38105,f
0.0,1,54,38231,r
0.0,1,102,38256,r
0.0,1,104,38526,f
0.0,1,55,38593,f
0.0,1,51,38602,f
0.0,1,55,38594,r
0.0,1,51,38603,r
0.0,1,70,38631,r
1.41421,1,69,38649,r
1.41421,1,83,38654,r
0.0,1,65,38701,r
0.0,1,70,38630,f
0.0,1,89,39124,f
0.0,1,32,39186,f
0.0,1,51,39210,f
0.0,1,70,39463,r
1.41421,1,127,40600,r
1.41421,1,133,40659,r
1.41421,1,88,40713,r
1.41421,1,104,40727,r
0.0,1,116,41171,r
0.0,1,32,41261,r
0.0,1,55,41264,r
0.0,1,38,41287,r
0.0,1,107,42029,f
0.0,1,74,44233,f
0.0,1,70,44254,f
0.0,1,68,44264,f
0.0,1,57,44307,f
0.0,1,51,44324,f
0.0,1,47,44332,f
0.0,1,64,44364,f
0.0,1,85,44375,f
0.0,1,128,44379,f
0.0,1,116,44428,f
0.0,1,59,45067,f
0.0,1,30,45103,f
0.0,1,42,45116,f
0.0,1,40,45126,f
0.0,1,38,45133,f
0.0,1,21,45158,f
0.0,1,118,45166,f
0.0,1,133,45171,f
0.0,1,156,45179,f
0.0,1,64,45284,f
0.0,1,90,45304,f
0.0,1,91,45335,f
0.0,1,109,45426,f
0.0,1,40,45506,f
0.0,1,116,45520,f
0.0,1,128,45546,f
0.0,1,48,45636,f
0.0,1,48,45637,r
0.0,1,56,45667,f
0.0,1,57,45674,f
0.0,1,64,45684,f
0.0,1,33,45723,f
0.0,1,56,45668,r
0.0,1,57,45675,r
0.0,1,64,45685,r
0.0,1,33,45724,r
0.0,1,91,45731,f
0.0,1,98,45748,f
0.0,1,91,45732,r
0.0,1,98,45749,r
0.0,1,119,45823,r
0.0,1,135,45933,r
0.0,1,159,45942,r
0.0,1,73,46034,r
0.0,1,47,46068,r
0.0,1,25,46101,r
0.0,1,32,46107,r
0.0,1,26,46115,r
0.0,1,99,46126,r
1.41421,1,95,46139,r
0.0,1,43,46433,r
0.0,1,48,46457,r
0.0,1,99,46466,r
0.0,1,148,46623,f
1.41421,1,42,46742,f
1.41421,1,47,46746,f
1.41421,1,99,46771,f
0.0,1,91,46784,f
0.0,1,96,46793,f
0.0,1,34,46870,f
1.41421,1,36,46875,f
1.41421,1,27,46889,f
0.0,1,34,46871,r
0.0,1,36,46876,r
0.0,1,27,46890,r
0.0,1,34,46905,r
1.41421,1,34,46904,f
1.41421,1,29,46911,f
0.0,1,29,46912,r
1.41421,1,96,47726,r
1.41421,1,82,47755,r
0.0,1,35,47818,r
0.0,1,48,47822,r
1.41421,1,111,47837,r
2.44711,1,111,47853,r
5.13859,1,96,47870,r
5.19166,1,118,47948,r
1.41421,1,128,47966,r
0.0,1,124,48066,r
0.0,1,135,48190,r
1.41421,1,117,48271,r
2.05192,1,84,48325,r
1.41421,1,42,48376,r
1.41421,1,102,48388,r
0.0,1,131,48490,r
1.41421,1,62,48598,r
1.41421,1,66,48607,r
0.0,1,62,48597,f
0.0,1,66,48606,f
0.0,1,74,48918,f
0.0,1,69,48931,f
0.0,1,14,48989,f
0.0,1,18,48992,f
0.0,1,30,49000,f
0.0,1,42,49003,f
0.0,1,45,49010,f
0.0,1,51,49030,f
0.0,1,41,49045,f
0.0,1,44,49055,f
0.0,1,47,49081,f
0.0,1,65,49086,f
0.0,1,59,49099,f
0.0,1,33,49128,f
0.0,1,46,49151,f
0.0,1,46,49158,f
0.0,1,95,49161,f
0.0,1,87,50083,r
0.0,1,101,50128,r
0.0,1,149,50133,r
0.0,1,85,50229,r
1.41421,1,87,50402,r
1.41421,1,65,50453,r
0.0,1,78,50461,r
0.0,1,55,50489,r
0.0,1,45,50518,r
0.0,1,79,50539,r
0.0,1,76,50544,r
0.0,1,77,50563,r
0.0,1,185,50618,r
0.0,1,98,50803,r
1.41421,1,23,50884,r
1.41421,1,30,50892,r
1.41421,1,49,50901,r
1.41421,1,64,50907,r
0.0,1,109,50922,r
0.0,1,107,50950,r
0.0,1,99,50971,r
0.0,1,83,51069,f
0.0,1,60,51099,f
0.0,1,69,51031,r
0.0,1,83,51057,r
0.0,1,23,51139,f
0.0,1,41,51152,f
0.0,1,40,51159,f
0.0,1,84,51162,f
0.0,1,70,51401,r
0.0,1,124,51408,r
0.0,1,132,51434,r
0.0,1,110,51323,f
0.0,1,70,51400,f
0.0,1,114,51471,r
0.0,1,71,52497,r
0.0,1,39,52536,r
0.0,1,27,52556,r
0.0,1,18,52568,r
0.0,1,14,52575,r
0.0,1,16,52583,r
0.0,1,16,52586,r
0.0,1,24,52589,r
0.0,1,18,52599,r
0.0,1,18,52602,r
0.0,1,19,52613,r
0.0,1,20,52617,r
0.0,1,36,52620,r
0.0,1,29,52632,r
0.0,1,29,52637,r
1.41421,1,21,52656,r
1.41421,1,31,52661,r
1.41421,1,33,53053,r
1.41421,1,35,53065,r
0.0,1,33,53052,f
0.0,1,35,53064,f
0.0,1,27,53079,f
1.41421,1,27,53080,r
0.0,1,29,53086,r
0.0,1,17,53100,r
0.0,1,26,53107,r
0.0,1,29,53085,f
0.0,1,17,53099,f
0.0,1,26,53106,f
0.0,1,34,53114,f
0.0,1,56,53116,f
0.0,1,34,53115,r
0.0,1,56,53117,r
0.0,1,81,53423,f
0.0,1,57,53449,f
0.0,1,22,53501,f
0.0,1,29,53504,f
0.0,1,34,53506,f
0.0,1,39,53523,f
0.0,1,35,53533,f
0.0,1,72,53641,f
0.0,1,48,53683,f
1.41421,1,56,53688,f
1.41421,1,71,53713,f
1.41421,1,72,53731,f
0.0,1,70,53744,f
0.0,1,49,53784,f
0.0,1,58,53803,f
0.0,1,56,53814,f
0.0,1,78,53833,f
0.0,1,78,53834,r
1.41421,1,55,53862,r
1.41421,1,97,53871,r
0.0,1,84,53912,r
0.0,1,105,53917,r
0.0,1,69,53968,r
1.41421,1,57,53996,r
1.41421,1,42,54022,r
1.41421,1,33,54037,r
1.41421,1,45,54196,f
2.0788,1,32,54217,f
0.0,1,45,54197,r
1.41421,1,32,54218,r
1.95992,1,38,54226,r
2.98903,1,32,54242,r
2.65248,1,38,54225,f
4.54535,1,32,54241,f
6.22335,1,28,54249,f
4.13956,1,31,54263,f
3.71296,1,28,54250,r
4.36006,1,31,54264,r
6.28219,1,28,54273,f
5.83346,1,30,54277,f
5.3813,1,22,54294,f
7.60759,1,21,54301,f
3.97929,1,102,54307,f
2.44745,1,124,54316,f
0.0,1,66,55287,f
0.0,1,84,55327,f
0.0,1,129,55351,f
0.0,1,153,55353,f
0.0,1,113,55411,f
2.67402,1,96,55843,r
3.33115,1,78,55921,r
4.40946,1,94,55923,r
4.96806,1,87,55939,r
3.57048,1,45,55999,r
2.03736,1,60,56017,r
1.41421,1,69,56026,r
3.08414,1,78,56044,r
3.49813,1,72,56077,r
3.72011,1,63,56095,r
4.11743,1,81,56122,r
3.47493,1,64,56149,r
4.56946,1,84,56158,r
2.84901,1,57,56203,r
2.50568,1,90,56430,f
0.0,1,68,56674,f
0.0,1,144,57267,r
0.0,1,109,57317,r
0.0,1,65,57381,r
0.0,1,48,57411,r
0.0,1,36,57426,r
1.41421,1,22,57446,r
1.41421,1,13,57459,r
1.41421,1,15,57462,r
1.41421,1,21,57468,r
0.0,1,38,57472,r
0.0,1,42,57477,r
0.0,1,46,57489,r
0.0,1,43,57510,r
0.0,1,47,57519,r
0.0,1,56,57535,r
0.0,1,47,57553,r
0.0,1,114,57566,r
0.0,1,99,57591,r
0.0,1,104,57600,r
0.0,1,42,57679,f
0.0,1,42,57680,r
2.46916,1,51,57690,r
2.85883,1,46,57704,r
2.85699,1,109,57722,r
0.0,1,51,57689,f
0.0,1,46,57703,f
0.0,1,102,57741,r
0.0,1,113,57750,r
0.0,1,38,57831,r
0.0,1,29,57843,r
0.0,1,42,57863,r
0.0,1,51,57869,r
0.0,1,66,57872,r
0.0,1,51,57905,r
0.0,1,56,57920,r
0.0,1,42,57938,r
0.0,1,27,57956,r
0.0,1,17,57976,r
0.0,1,42,57937,f
0.0,1,27,57955,f
0.0,1,17,57975,f
0.0,1,32,57979,f
0.0,1,32,57980,r
1.41421,1,38,57983,r
1.41421,1,31,57993,r
1.41421,1,29,58012,r
0.0,1,38,57982,f
0.0,1,31,57992,f
0.0,1,29,58011,f
0.0,1,28,58020,f
1.41421,1,28,58021,r
0.0,1,33,58024,r
0.0,1,46,58041,r
0.0,1,48,58049,r
0.0,1,33,58023,f
0.0,1,46,58040,f
0.0,1,48,58048,f
0.0,1,68,58056,f
0.0,1,68,58057,r
0.0,1,49,58086,f
0.0,1,45,58096,f
0.0,1,53,58124,f
1.41421,1,48,58135,f
1.41421,1,57,58141,f
0.0,1,24,58177,f
0.0,1,36,58183,f
0.0,1,66,58198,f
0.0,1,70,58202,r
1.41421,1,64,58220,r
1.41421,1,22,58265,r
1.41421,1,70,58201,f
1.41421,1,64,58219,f
1.41421,1,22,58264,f
1.41421,1,18,58271,f
1.41421,1,18,58272,r
0.0,1,41,58284,r
0.0,1,44,58287,r
0.0,1,45,58290,r
0.0,1,41,58283,f
0.0,1,44,58286,f
1.41421,1,45,58289,f
1.41421,1,21,58324,f
0.0,1,21,58325,r
1.41421,1,24,58331,r
1.41421,1,50,58335,r
1.41421,1,51,58346,r
0.0,1,24,58330,f
0.0,1,50,58334,f
0.0,1,51,58345,f
0.0,1,47,58354,f
1.41421,1,47,58355,r
0.0,1,40,58385,r
0.0,1,34,58397,r
0.0,1,45,58402,r
1.41421,1,40,58384,f
1.41421,1,34,58396,f
0.0,1,45,58401,f
0.0,1,33,58424,f
0.0,1,33,58425,r
0.0,1,32,58431,r
0.0,1,28,58447,r
0.0,1,22,58458,r
0.0,1,32,58430,f
0.0,1,28,58446,f
0.0,1,22,58457,f
0.0,1,22,58462,f
0.0,1,22,58463,r
0.0,1,34,58475,r
0.0,1,37,58480,r
0.0,1,60,58485,r
0.0,1,34,58474,f
0.0,1,37,58479,f
0.0,1,60,58484,f
0.0,1,45,58508,f
0.0,1,45,58509,r
0.0,1,56,58517,r
0.0,1,32,58545,r
0.0,1,30,58554,r
1.41421,1,56,58516,f
1.41421,1,32,58544,f
1.41421,1,30,58553,f
1.41421,1,44,58572,f
0.0,1,44,58573,r
0.0,1,50,58577,r
0.0,1,53,58584,r
1.41421,1,50,58576,f
1.41421,1,53,58583,f
1.41421,1,35,58616,f
0.0,1,56,58626,f
0.0,1,49,58636,f
0.0,1,37,58651,f
0.0,1,11,58682,f
0.0,1,18,58685,f
0.0,1,42,58688,f
0.0,1,42,58693,f
0.0,1,36,58703,f
0.0,1,17,58730,f
0.0,1,30,58735,f
0.0,1,32,58739,f
0.0,1,66,58747,f
0.0,1,78,58765,f
0.0,1,87,58771,f
0.0,1,49,58813,f
0.0,1,31,58843,f
0.0,1,23,58858,f
0.0,1,25,58863,r
0.0,1,26,58875,r
0.0,1,23,58882,r
0.0,1,25,58862,f
0.0,1,26,58874,f
0.0,1,23,58881,f
0.0,1,30,58887,f
0.0,1,30,58888,r
0.0,1,22,58901,r
0.0,1,27,58905,r
0.0,1,17,58918,r
0.0,1,22,58900,f
0.0,1,27,58904,f
0.0,1,17,58917,f
0.0,1,25,58922,f
0.0,1,64,58931,f
0.0,1,25,58923,r
0.0,1,64,58932,r
0.0,1,75,59710,f
0.0,1,57,59734,f
0.0,1,61,59737,f
1.41421,1,35,59785,f
1.41421,1,63,59791,f
1.41421,1,62,59798,f
0.0,1,102,60179,f
0.0,1,151,60235,f
0.0,1,76,61538,r
0.0,1,66,61557,r
0.0,1,125,61569,r
1.41421,1,76,61986,r
1.41421,1,53,62021,r
1.41421,1,37,62040,r
1.41421,1,36,62062,r
0.0,1,31,62074,r
0.0,1,59,62077,r
0.0,1,66,62098,r
0.0,1,63,62105,r
0.0,1,54,62136,r
0.0,1,36,62164,r
0.0,1,96,62168,r
0.0,1,81,62190,r
0.0,1,87,62200,r
1.41421,1,134,63072,r
1.41421,1,49,63551,r
1.41421,1,18,63585,r
1.41421,1,30,63588,r
0.0,1,32,63600,r
0.0,1,36,63603,r
1.41421,1,24,63618,r
1.41421,1,39,63632,r
1.41421,1,42,63639,r
0.0,1,48,63642,r
0.0,1,25,63671,r
1.41421,1,17,63681,r
1.41421,1,47,63690,r
0.0,1,54,63696,r
0.0,1,104,63698,r
0.0,1,95,63737,r
0.0,1,91,63750,r
0.0,1,56,63802,r
0.0,1,80,63832,r
0.0,1,112,63841,r
0.0,1,130,64419,r
1.41421,1,38,64533,r
1.41421,1,50,64544,r
1.41421,1,60,64549,r
1.41421,1,72,64571,r
0.0,1,73,64594,r
0.0,1,86,64609,r
0.0,1,76,64643,r
0.0,1,62,64667,r
0.0,1,68,64695,r
0.0,1,61,64719,r
1.41421,1,83,64729,r
1.41421,1,74,64763,r
0.0,1,138,64780,r
0.0,1,122,64837,r
0.0,1,56,64918,r
0.0,1,38,64943,r
0.0,1,37,64959,r
0.0,1,24,64974,r
0.0,1,111,65322,r
0.0,1,58,66263,f
0.0,1,151,66404,f
0.0,1,151,66405,r
0.0,1,147,66943,r
0.0,1,94,67013,r
1.41421,1,148,67148,r
1.41421,1,118,67202,r
1.41421,1,90,67240,r
0.0,1,48,67296,r
0.0,1,39,67320,r
0.0,1,33,67330,r
0.0,1,34,67344,r
0.0,1,31,67359,r
0.0,1,33,67363,r
0.0,1,30,67378,r
0.0,1,33,67390,r
0.0,1,42,67396,r
0.0,1,38,67408,r
0.0,1,33,67423,r
0.0,1,32,67438,r
0.0,1,26,67446,r
0.0,1,25,67456,r
0.0,1,14,67470,r
0.0,1,15,67472,r
0.0,1,9,67481,r
0.0,1,40,67484,r
0.0,1,53,67487,r
0.0,1,61,67490,r
0.0,1,30,67524,r
0.0,1,17,67540,r
0.0,1,78,67551,r
0.0,1,89,67554,r
0.0,1,90,67557,r
0.0,1,34,67629,r
0.0,1,22,67643,r
1.41421,1,31,67647,r
1.41421,1,17,67663,r
1.41421,1,17,67665,r
1.41421,1,18,67678,r
0.0,1,25,67680,r
0.0,1,56,67682,r
0.0,1,44,67705,r
0.0,1,32,67738,r
0.0,1,34,67740,r
0.0,1,89,69174,f
0.0,1,98,69183,f
0.0,1,52,69252,f
0.0,1,119,69662,r
0.0,1,124,69668,r
0.0,1,102,69701,r
0.0,1,51,69781,r
0.0,1,49,69792,r
0.0,1,43,69803,r
0.0,1,21,69832,r
0.0,1,124,69841,r
0.0,1,95,69964,f
0.0,1,59,70003,f
0.0,1,63,70020,f
0.0,1,40,70201,r
0.0,1,15,70229,r
0.0,1,24,70238,r
0.0,1,77,70241,r
1.41421,1,98,70577,r
2.15726,1,90,70595,r
3.63521,1,60,70633,r
5.51942,1,47,70675,r
5.0719,1,105,70685,r
1.41421,1,66,71458,r
1.41421,1,33,71497,r
0.0,1,28,71509,r
0.0,1,56,71524,r
6.15542,1,100,71781,r
10.03001,1,36,71863,r
5.01911,1,89,71873,f
2.6878,1,101,71880,f
1.41421,1,115,71898,f
0.0,1,72,71962,f
0.0,1,64,71981,f
0.0,1,47,72013,f
0.0,1,57,72034,f
1.41421,1,79,72045,f
1.41421,1,72,72060,f
1.41421,1,51,72091,f
0.0,1,68,72124,f
0.0,1,83,72132,f
0.0,1,102,72500,f
0.0,1,40,72615,r
0.0,1,109,73616,r
0.0,1,140,73565,f
0.0,1,109,73615,f
0.0,1,104,73934,f
0.0,1,56,73998,f
0.0,1,48,73692,r
0.0,1,55,74005,f
0.0,1,73,74038,f
0.0,1,73,74039,r
0.0,1,61,74055,r
0.0,1,65,74061,r
0.0,1,28,74112,r
0.0,1,46,74116,r
0.0,1,48,74126,r
0.0,1,65,74140,r
0.0,1,123,74162,r
0.0,1,114,74285,r
0.0,1,39,74372,r
1.41421,1,77,74654,f
1.41421,1,68,74667,f
1.41421,1,27,74721,f
0.0,1,68,74668,r
0.0,1,27,74722,r
0.0,1,86,74732,r
0.0,1,86,74731,f
0.0,1,38,75022,r
0.0,1,82,75025,r
0.0,1,81,75057,r
0.0,1,56,75423,r
0.0,1,36,75457,r
0.0,1,51,75460,r
1.41421,1,65,75479,r
1.41421,1,153,75493,r
0.0,1,120,75544,r
0.0,1,20,75646,r
1.41421,1,20,75649,r
1.41421,1,34,75664,r
1.41421,1,36,75666,r
0.0,1,39,75669,r
0.0,1,28,75698,r
1.41421,1,42,75702,r
1.41421,1,56,75708,r
0.0,1,59,75726,r
0.0,1,47,75744,r
0.0,1,34,75764,r
0.0,1,21,75785,r
0.0,1,40,75791,r
0.0,1,43,75798,r
0.0,1,42,75806,r
0.0,1,27,75831,r
0.0,1,31,75841,r
0.0,1,27,75848,r
0.0,1,28,75858,r
0.0,1,32,75872,r
0.0,1,40,75875,r
0.0,1,40,75886,r
0.0,1,29,75904,r
0.0,1,32,75915,r
1.41421,1,25,75926,r
1.41421,1,34,75933,r
1.41421,1,52,75947,r
1.41421,1,54,75951,r
0.0,1,44,75966,f
0.0,1,25,75998,f
0.0,1,22,76004,f
0.0,1,32,76010,f
0.0,1,44,75967,r
0.0,1,25,75999,r
0.0,1,22,76005,r
0.0,1,32,76011,r
0.0,1,23,76023,f
1.41421,1,23,76026,f
1.41421,1,13,76042,f
1.41421,1,21,76046,f
0.0,1,23,76024,r
0.0,1,23,76027,r
0.0,1,13,76043,r
0.0,1,21,76047,r
1.41421,1,21,76049,f
0.0,1,17,76055,f
1.41421,1,8,76067,f
1.41421,1,8,76070,f
0.0,1,21,76050,r
0.0,1,17,76056,r
0.0,1,8,76068,r
0.0,1,8,76071,r
1.41421,1,18,76072,f
1.41421,1,24,76075,f
0.0,1,23,76078,f
0.0,1,14,76090,f
0.0,1,18,76073,r
0.0,1,24,76076,r
0.0,1,23,76079,r
